"tau","normalized_revenue"
0,0
0.002,0.00199879915904671
0.004,0.00399519326472675
0.006,0.0059891772425743
0.008,0.00798074599496412
0.01,0.0099698944009538
0.012,0.0119566173161247
0.014,0.0139409095724214
0.016,0.0159227659779896
0.018,0.0179021813170129
0.02,0.0198791503495476
0.022,0.0218536678113564
0.024,0.0238257284137406
0.026,0.0257953268433702
0.028,0.0277624577621132
0.03,0.0297271158068633
0.032,0.0316892955893649
0.034,0.0336489916960382
0.036,0.0356061986878012
0.038,0.037560911099891
0.04,0.039513123441683
0.042,0.0414628301965086
0.044,0.0434100258214711
0.046,0.04535470474726
0.048,0.0472968613779634
0.05,0.0492364900908788
0.052,0.0511735852363221
0.054,0.0531081411374348
0.056,0.0550401520899894
0.058,0.0569696123621927
0.06,0.0588965161944877
0.062,0.0608208577993536
0.064,0.0627426313611031
0.066,0.0646618310356788
0.068,0.0665784509504471
0.07,0.0684924852039906
0.072,0.0704039278658975
0.074,0.07231277297655
0.076,0.0742190145469106
0.078,0.0761226465583056
0.08,0.078023662962207
0.082,0.0799220576800125
0.084,0.0818178246028229
0.086,0.0837109575912177
0.088,0.0856014504750281
0.09,0.0874892970531082
0.092,0.0893744910931039
0.094,0.0912570263312191
0.096,0.0931368964719801
0.098,0.0950140951879977
0.1,0.0968886161197263
0.102,0.0987604528752214
0.104,0.100629599029894
0.106,0.102496048126263
0.108,0.104359793673706
0.11,0.106220829148205
0.112,0.108079147992091
0.114,0.10993474361379
0.116,0.111787609387556
0.118,0.113637738653215
0.12,0.115485124715894
0.122,0.117329760845756
0.124,0.119171640277727
0.126,0.121010756211222
0.128,0.122847101809871
0.13,0.124680670201236
0.132,0.126511454476532
0.134,0.128339447690336
0.136,0.130164642860308
0.138,0.13198703296689
0.14,0.13380661095302
0.142,0.135623369723828
0.144,0.137437302146341
0.146,0.139248401049175
0.148,0.141056659222233
0.15,0.142862069416389
0.152,0.144664624343183
0.154,0.146464316674496
0.156,0.148261139042235
0.158,0.150055084038011
0.16,0.151846144212807
0.162,0.153634312076654
0.164,0.155419580098292
0.166,0.157201940704838
0.168,0.15898138628144
0.17,0.160757909170936
0.172,0.162531501673504
0.174,0.164302156046312
0.176,0.166069864503159
0.178,0.167834619214119
0.18,0.169596412305175
0.182,0.171355235857852
0.184,0.173111081908845
0.186,0.174863942449645
0.188,0.176613809426157
0.19,0.178360674738318
0.192,0.180104530239707
0.194,0.181845367737154
0.196,0.183583178990341
0.198,0.185317955711404
0.2,0.187049689564524
0.202,0.188778372165518
0.204,0.190503995081425
0.206,0.192226549830082
0.208,0.193946027879708
0.21,0.195662420648464
0.212,0.19737571950403
0.214,0.199085915763157
0.216,0.200793000691227
0.218,0.202496965501805
0.22,0.204197801356181
0.222,0.205895499362916
0.224,0.207590050577371
0.226,0.209281446001241
0.228,0.210969676582078
0.23,0.21265473321281
0.232,0.214336606731254
0.234,0.216015287919626
0.236,0.217690767504037
0.238,0.219363036153997
0.24,0.221032084481896
0.242,0.222697903042495
0.244,0.224360482332403
0.246,0.226019812789543
0.248,0.227675884792625
0.25,0.2293286886606
0.252,0.230978214652114
0.254,0.232624452964953
0.256,0.234267393735483
0.258,0.235907027038083
0.26,0.237543342884571
0.262,0.23917633122362
0.264,0.24080598194017
0.266,0.242432284854836
0.268,0.244055229723301
0.27,0.245674806235706
0.272,0.247291004016035
0.274,0.248903812621487
0.276,0.250513221541841
0.278,0.25211922019882
0.28,0.253721797945436
0.282,0.255320944065339
0.284,0.256916647772144
0.286,0.258508898208765
0.288,0.260097684446724
0.29,0.261682995485469
0.292,0.263264820251669
0.294,0.264843147598503
0.296,0.26641796630495
0.298,0.267989265075053
0.3,0.269557032537192
0.302,0.271121257243329
0.304,0.272681927668261
0.306,0.274239032208848
0.308,0.275792559183243
0.31,0.277342496830104
0.312,0.278888833307799
0.314,0.280431556693601
0.316,0.281970654982872
0.318,0.283506116088234
0.32,0.285037927838732
0.322,0.286566077978984
0.324,0.288090554168321
0.326,0.289611343979916
0.328,0.291128434899899
0.33,0.29264181432646
0.332,0.294151469568945
0.334,0.295657387846934
0.336,0.297159556289306
0.338,0.298657961933301
0.34,0.300152591723555
0.342,0.301643432511131
0.344,0.303130471052538
0.346,0.304613694008729
0.348,0.30609308794409
0.35,0.307568639325417
0.352,0.309040334520873
0.354,0.310508159798934
0.356,0.311972101327322
0.358,0.313432145171918
0.36,0.314888277295664
0.362,0.316340483557448
0.364,0.317788749710973
0.366,0.31923306140361
0.368,0.320673404175234
0.37,0.322109763457046
0.372,0.323542124570375
0.374,0.324970472725464
0.376,0.326394793020238
0.378,0.327815070439056
0.38,0.329231289851443
0.382,0.330643436010801
0.384,0.332051493553108
0.386,0.333455446995594
0.388,0.334855280735391
0.39,0.336250979048179
0.392,0.337642526086796
0.394,0.339029905879833
0.396,0.340413102330213
0.398,0.341792099213741
0.4,0.343166880177638
0.402,0.344537428739047
0.404,0.345903728283523
0.406,0.347265762063495
0.408,0.348623513196707
0.41,0.349976964664635
0.412,0.351326099310877
0.414,0.352670899839524
0.416,0.354011348813497
0.418,0.355347428652868
0.42,0.35667912163315
0.422,0.358006409883556
0.424,0.35932927538524
0.426,0.360647699969503
0.428,0.361961665315973
0.43,0.363271152950757
0.432,0.364576144244563
0.434,0.36587662041079
0.436,0.367172562503593
0.438,0.368463951415907
0.44,0.369750767877452
0.442,0.371032992452692
0.444,0.372310605538775
0.446,0.373583587363425
0.448,0.374851917982809
0.45,0.376115577279369
0.452,0.377374544959609
0.454,0.378628800551861
0.456,0.379878323403995
0.458,0.381123092681106
0.46,0.382363087363156
0.462,0.383598286242576
0.464,0.384828667921829
0.466,0.386054210810929
0.468,0.387274893124923
0.47,0.388490692881325
0.472,0.389701587897508
0.474,0.390907555788051
0.476,0.392108573962038
0.478,0.393304619620318
0.48,0.394495669752702
0.482,0.39568170113513
0.484,0.396862690326771
0.486,0.398038613667083
0.488,0.399209447272819
0.49,0.400375167034972
0.492,0.401535748615677
0.494,0.40269116744505
0.496,0.403841398717973
0.498,0.404986417390819
0.5,0.406126198178118
0.502,0.407260715549165
0.504,0.408389943724562
0.506,0.4095138566727
0.508,0.410632428106171
0.51,0.411745631478122
0.512,0.412853439978531
0.514,0.413955826530423
0.516,0.415052763786007
0.518,0.416144224122745
0.52,0.417230179639348
0.522,0.418310602151688
0.524,0.419385463188642
0.526,0.420454733987851
0.528,0.421518385491395
0.53,0.422576388341391
0.532,0.4236287128755
0.534,0.424675329122349
0.536,0.425716206796864
0.538,0.426751315295506
0.54,0.427780623691421
0.542,0.428804100729488
0.544,0.429821714821269
0.546,0.430833434039859
0.548,0.431839226114631
0.55,0.432839058425879
0.552,0.433832897999346
0.554,0.434820711500643
0.556,0.435802465229557
0.558,0.436778125114235
0.56,0.437747656705257
0.562,0.438711025169574
0.564,0.439668195284331
0.566,0.440619131430551
0.568,0.441563797586696
0.57,0.442502157322081
0.572,0.443434173790153
0.574,0.444359809721629
0.576,0.445279027417484
0.578,0.446191788741781
0.58,0.447098055114363
0.582,0.447997787503362
0.584,0.448890946417568
0.586,0.449777491898611
0.588,0.450657383512981
0.59,0.451530580343867
0.592,0.452397040982813
0.594,0.45325672352119
0.596,0.454109585541471
0.598,0.454955584108311
0.6,0.455794675759424
0.602,0.456626816496249
0.604,0.457451961774402
0.606,0.45827006649391
0.608,0.459081084989208
0.61,0.459884971018918
0.612,0.460681677755372
0.614,0.461471157773893
0.616,0.462253363041829
0.618,0.463028244907312
0.62,0.463795754087753
0.622,0.464555840658065
0.624,0.465308454038588
0.626,0.466053542982729
0.628,0.466791055564293
0.63,0.467520939164509
0.632,0.46824314045872
0.634,0.468957605402755
0.636,0.469664279218954
0.638,0.470363106381838
0.64,0.471054030603413
0.642,0.471736994818113
0.644,0.472411941167335
0.646,0.473078810983594
0.648,0.473737544774258
0.65,0.474388082204855
0.652,0.475030362081947
0.654,0.475664322335553
0.656,0.476289900001098
0.658,0.476907031200886
0.66,0.477515651125066
0.662,0.478115694012097
0.664,0.478707093128666
0.666,0.479289780749066
0.668,0.479863688134002
0.67,0.480428745508808
0.672,0.480984882041059
0.674,0.481532025817556
0.676,0.482070103820655
0.678,0.482599041903928
0.68,0.483118764767125
0.682,0.483629195930419
0.684,0.484130257707899
0.686,0.484621871180294
0.688,0.485103956166897
0.69,0.485576431196656
0.692,0.486039213478407
0.694,0.486492218870216
0.696,0.4869353618478
0.698,0.487368555471984
0.7,0.487791711355164
0.702,0.48820473962675
0.704,0.488607548897523
0.706,0.48900004622289
0.708,0.489382137064987
0.71,0.489753725253576
0.712,0.490114712945705
0.714,0.490465000584072
0.716,0.49080448685404
0.718,0.491133068639262
0.72,0.491450640975848
0.722,0.491757097005017
0.724,0.492052327924183
0.726,0.492336222936394
0.728,0.492608669198074
0.73,0.492869551764981
0.732,0.493118753536321
0.734,0.493356155196931
0.736,0.493581635157448
0.738,0.493795069492393
0.74,0.493996331876052
0.742,0.494185293516091
0.744,0.494361823084783
0.746,0.494525786647745
0.748,0.494677047590086
0.75,0.494815466539835
0.752,0.494940901288539
0.754,0.49505320670889
0.756,0.495152234669251
0.758,0.495237833944947
0.76,0.495309850126142
0.762,0.495368125522179
0.764,0.495412499062174
0.766,0.495442806191728
0.768,0.495458878765525
0.77,0.495460544935655
0.772,0.495447629035425
0.774,0.495419951458443
0.776,0.495377328532746
0.778,0.495319572389704
0.78,0.495246490827453
0.782,0.495157887168566
0.784,0.495053560111655
0.786,0.494933303576603
0.788,0.494796906543083
0.79,0.49464415288199
0.792,0.494474821179432
0.794,0.49428868455285
0.796,0.494085510458846
